bus_type,start_time,start_station,start_lat,start_lon,start_station_lat,start_station_lon,end_station,end_lat,end_lon,end_station_lat,end_station_lon,direction
70,390,걸포마루공원,37.633491226128605,126.70338585996377,37.632597,126.7035,걸포북변역.국민연금공단,37.63139871688403,126.70461317207038,37.631468,126.705672,1
70,391,걸포마루공원,37.63225391920065,126.70330034782467,37.632597,126.7035,걸포북변역.국민연금공단,37.63160448062996,126.70657942548571,37.631468,126.705672,1
70,393,걸포마루공원,37.63329912662746,126.70353568935329,37.632597,126.7035,걸포북변역.국민연금공단,37.63150747082603,126.70524208291913,37.631468,126.705672,1
70,395,걸포마루공원,37.63205073897921,126.70273941668299,37.632597,126.7035,걸포북변역.국민연금공단,37.63217341203852,126.70603176260316,37.631468,126.705672,1
70,397,걸포마루공원,37.63263819974972,126.70461862873046,37.632597,126.7035,걸포북변역.국민연금공단,37.63067961141274,126.70512548384507,37.631468,126.705672,1
70,399,걸포마루공원,37.63276084652148,126.70437203436815,37.632597,126.7035,걸포북변역.국민연금공단,37.63197548834651,126.70634907302147,37.631468,126.705672,1
70,400,걸포마루공원,37.63267010873026,126.70310413127896,37.632597,126.7035,걸포북변역.국민연금공단,37.631703982806776,126.70516476528964,37.631468,126.705672,1
70,402,걸포마루공원,37.63261381209457,126.70436631682783,37.632597,126.7035,걸포북변역.국민연금공단,37.63094136893073,126.70562727099353,37.631468,126.705672,1
70,404,걸포마루공원,37.63240944657464,126.70298762804262,37.632597,126.7035,걸포북변역.국민연금공단,37.631205004520716,126.70463212560426,37.631468,126.705672,1
70,406,걸포마루공원,37.63210675776384,126.70355378686783,37.632597,126.7035,걸포북변역.국민연금공단,37.631698907484136,126.70489943923327,37.631468,126.705672,1
70,408,걸포마루공원,37.63217798554448,126.70430074255587,37.632597,126.7035,걸포북변역.국민연금공단,37.63233352020605,126.70594007183773,37.631468,126.705672,1
70,409,걸포마루공원,37.632524256629544,126.70375536370457,37.632597,126.7035,걸포북변역.국민연금공단,37.63225439383466,126.70589938945628,37.631468,126.705672,1
70,411,걸포마루공원,37.632310738675784,126.70296083348778,37.632597,126.7035,걸포북변역.국민연금공단,37.63175444136746,126.70545495191138,37.631468,126.705672,1
70,413,걸포마루공원,37.63196785663549,126.70362423659334,37.632597,126.7035,걸포북변역.국민연금공단,37.631325697885515,126.70483254082153,37.631468,126.705672,1
70,415,걸포마루공원,37.63265731509488,126.70317524232917,37.632597,126.7035,걸포북변역.국민연금공단,37.63174964636436,126.70518804907871,37.631468,126.705672,1
70,417,걸포마루공원,37.63179666636034,126.70381746947572,37.632597,126.7035,걸포북변역.국민연금공단,37.631898899469974,126.704765468169,37.631468,126.705672,1
70,418,걸포마루공원,37.63318936782306,126.70281070915036,37.632597,126.7035,걸포북변역.국민연금공단,37.631487684367684,126.70489802828169,37.631468,126.705672,1
70,420,걸포마루공원,37.632948309610526,126.70282835344761,37.632597,126.7035,걸포북변역.국민연금공단,37.63135191203734,126.70669087415514,37.631468,126.705672,1
70,422,걸포마루공원,37.63178375578467,126.70351473154335,37.632597,126.7035,걸포북변역.국민연금공단,37.6315139392705,126.70643223335205,37.631468,126.705672,1
70,424,걸포마루공원,37.63281074332703,126.70328560452238,37.632597,126.7035,걸포북변역.국민연금공단,37.63097373483134,126.70563231361382,37.631468,126.705672,1
70,426,걸포마루공원,37.63190834825375,126.7031831332187,37.632597,126.7035,걸포북변역.국민연금공단,37.63174913399412,126.70593141014007,37.631468,126.705672,1
